Q_ID,QG,QG_Name,Phase,Set,Bloom_Level,Question,Choice_A,Choice_B,Choice_C,Choice_D,Answer,Answer_Explain,Question_Type,Skill_Tag,Is_Diagnostic,Recommended_Course,Sales_Pitch,Pass_Criteria,Progression_Level
QG06-PRE-A-005,QG-06,Brand Identity & Production,Pre,A,Remember,OBS คืออะไร?,ระบบชำระเงิน,ซอฟต์แวร์สลับกล้อง/ฉากสดระหว่างไลฟ์,แอปตัดต่อวิดีโอ,ระบบ CRM,B,OBS (Open Broadcaster Software) ใช้สลับ scene ระหว่าง live,MCQ,"Production,OBS",FALSE,,,ถูก=ผ่าน,PROFICIENT
QG06-POST-A-001,QG-06,Brand Identity & Production,Post,A,Apply,[Matching] จับคู่ Soul กับพฤติกรรม — 'อ่านแชทตอบด้วยความเข้าอกเข้าใจ' คือ Soul ใด?,นักแสดงละครเวที,สถาปนิก,นักจิตวิทยา,วาทยากร,C,นักจิตวิทยา = เข้าใจความรู้สึกผู้ชม ตอบสนองด้วยความเห็นใจ,MCQ,5 Hidden Souls,FALSE,,,ถูก=ผ่าน,PROFICIENT
QG06-POST-A-002,QG-06,Brand Identity & Production,Post,A,Synthesize,[Scenario] ไฟดับระหว่าง Flash Sale — ใช้ Soul ใด? พูดว่าอะไร?,,,,,นักแสดงละครเวที — 'ขออภัยครับ ระบบดับนิดนึง อีก 1 นาทีกลับมา ระหว่างนี้กดสั่งได้เลยนะครับ',,Short_Answer,"5 Hidden Souls,Crisis",FALSE,,,เกณฑ์: ระบุ Soul + บทพูดสมเหตุสมผล Recovery <10 วิ,PROFICIENT
QG06-POST-A-003,QG-06,Brand Identity & Production,Post,A,Apply,[เขียน] เขียน Impact Formula สำหรับตัวเองในฐานะ Live Commerce Host 1 ประโยค,,,,,ตัวอย่าง: 'ช่วยแบรนด์ SME ให้ขายได้ GMV 100K ต่อไลฟ์ ด้วยเทคนิค Psychology-First',,Short_Answer,"Brand,Impact Formula",FALSE,,,เกณฑ์: ครบ 3 ส่วน (กลุ่ม + ผลลัพธ์ + จุดเด่น),PROFICIENT
QG06-POST-A-004,QG-06,Brand Identity & Production,Post,A,Apply,[Scenario] Producer สลับกล้องช้า 2 วินาที — โฮสต์ควรพูดว่าอะไร?,,,,,ขออภัยครับ ระบบหน่วงนิดนึง ขอบคุณที่รอนะครับ' (ไม่โทษทีม),,Short_Answer,"Production,Team",FALSE,,,เกณฑ์: ตอบภายใน 10 วิ + ไม่โทษใคร,PROFICIENT
QG06-POST-A-005,QG-06,Brand Identity & Production,Post,A,Analyze,ตัวอย่าง CB (Corporate Behavior) ที่ดีคืออะไร?,ลดราคาทันทีเมื่อลูกค้าไม่พอใจ,ตอบสนองต่อข้อผิดพลาดอย่างสง่างาม ไม่ตื่นตระหนก,โฆษณาทุกแพลตฟอร์ม,ใช้สคริปต์เดิมทุกไลฟ์,B,CB = พฤติกรรมองค์กร = วิธีที่แบรนด์แสดงออกในทุกสถานการณ์,MCQ,"Brand CI,CB",FALSE,,,ถูก=ผ่าน,PROFICIENT
QG07-PRE-A-001,QG-07,"Business, P&L & Global Strategy",Pre,A,Remember,Net Margin ที่เหมาะสมใน Live Commerce คือ?,5-10%,10-15%,20-30%,35-50%,C,Net Margin เป้าหมาย = 20-30%,MCQ,"P&L,Net Margin",TRUE,FRONTIER,เรียน P&L ครบจบใน FRONTIER,ถูก=ผ่าน,MASTER
QG07-PRE-A-002,QG-07,"Business, P&L & Global Strategy",Pre,A,Remember,ROAS ย่อมาจากอะไร?,Return on Asset Sales,Return on Ad Spend,Revenue on All Sales,Rate of Annual Sales,B,ROAS = Return on Ad Spend = ทุก 1 บาทโฆษณาได้ผลตอบแทนเท่าไร,MCQ,"P&L,ROAS",FALSE,,,ถูก=ผ่าน,MASTER
QG07-PRE-A-003,QG-07,"Business, P&L & Global Strategy",Pre,A,Understand,Localization คืออะไร?,การแปลภาษาอย่างเดียว,ปรับเนื้อหา ภาษา บริบทให้เหมาะกับตลาดท้องถิ่น,การขายในต่างประเทศ,การจ้างโฮสต์ท้องถิ่น,B,Localization ≠ Translation เพราะต้องปรับวัฒนธรรม พฤติกรรม และบริบทด้วย,MCQ,"Global,Localization",FALSE,,,ถูก=ผ่าน,MASTER
QG07-PRE-A-004,QG-07,"Business, P&L & Global Strategy",Pre,A,Remember,ข้อห้ามทางวัฒนธรรมสำคัญในตลาดจีนคือ?,ห้ามใช้สีแดง,ห้ามใช้เลข 4 + ห้ามพูดการเมือง,ห้ามแสดงราคา,ห้ามเปรียบเทียบสินค้า,B,เลข 4 ออกเสียงคล้าย 'ตาย' ในภาษาจีน + การเมืองเป็นเรื่องละเอียดอ่อน,MCQ,"Global,China,วัฒนธรรม",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-001,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,[P&L] ราคา 690 บ. / ขาย 45 ชิ้น — คำนวณ GMV,"28,000 บ.","30,000 บ.","31,050 บ.","32,500 บ.",C,"GMV = 690 × 45 = 31,050 บาท",MCQ,"P&L,GMV,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-002,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,"[P&L] Referral 8% + Affiliate 15% ของ GMV 31,050 บ. — ค่าธรรมเนียมรวม = ?","6,200 บ.","7,141.5 บ.","7,500 บ.","8,000 บ.",B,"(8%+15%) × 31,050 = 23% × 31,050 = 7,141.5 บาท",MCQ,"P&L,ค่าธรรมเนียม,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-003,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,"[P&L] Net Revenue ก่อนต้นทุน (GMV 31,050 - ค่าธรรมเนียม 7,141.5 - โฆษณา 1,200) = ?","21,508.5 บ.","22,708.5 บ.","23,908.5 บ.","24,500 บ.",C,"31,050 - 7,141.5 - 1,200 = 22,708.5 บาท",MCQ,"P&L,Net Revenue,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-004,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,[P&L] ต้นทุนสินค้า 300 บ./ชิ้น ขาย 45 ชิ้น — ต้นทุนรวม = ?,"12,000 บ.","13,000 บ.","13,500 บ.","14,000 บ.",C,"ต้นทุน = 300 × 45 = 13,500 บาท",MCQ,"P&L,ต้นทุน,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-005,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,"[P&L] Net Profit (Net Revenue 22,708.5 - ต้นทุน 13,500) = ?","8,208.5 บ.","9,208.5 บ.","10,208.5 บ.","11,208.5 บ.",B,"Net Profit = 22,708.5 - 13,500 = 9,208.5 บาท",MCQ,"P&L,Net Profit,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-006,QG-07,"Business, P&L & Global Strategy",Post,A,Apply,"[P&L] Net Margin % = Net Profit 9,208.5 ÷ GMV 31,050 × 100 = ?",25.66%,27.66%,29.66%,31.66%,C,"9,208.5 ÷ 31,050 × 100 = 29.66% (อยู่ในเกณฑ์ 20-30% ✅)",MCQ,"P&L,Net Margin,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-007,QG-07,"Business, P&L & Global Strategy",Post,A,Create,"[Agency Break-even] ต้นทุนคงที่ 50,000/เดือน จ้างโฮสต์ 15,000/คน GMV/โฮสต์ 200,000 คอมมิชชัน 15% — ต้องโฮสต์กี่คนถึงจุดคุ้มทุน?",2 คน,3 คน,4 คน,5 คน,C,"รายได้/โฮสต์ = 30,000 | 30,000x = 50,000+15,000x | 15,000x = 50,000 | x = 3.33 → ต้อง 4 คน",MCQ,"P&L,Break-even,คำนวณ",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-008,QG-07,"Business, P&L & Global Strategy",Post,A,Analyze,[Global] จับคู่ตลาดกับข้อกำหนด — ตลาด EU ต้องการอะไรเป็นพิเศษ?,Local warehouse,VAT Declaration,อย. ไทย,ง่ายที่สุด ไม่มีเงื่อนไขพิเศษ,B,EU และ UK บังคับ VAT Declaration,MCQ,"Global,EU,VAT",FALSE,,,ถูก=ผ่าน,MASTER
QG07-POST-A-009,QG-07,"Business, P&L & Global Strategy",Post,A,Create,[Global Pitch] เขียน Pitch สำหรับ 'ข้าวเหนียวมะม่วง' 1-2 ประโยค เป็นภาษาอังกฤษ,,,,,"ตัวอย่าง: 'Discover Thailand's most beloved dessert — sticky rice with fresh mango, a perfect blend of sweet and creamy that melts in your mouth. Order now and bring Thailand to your table.'",,Short_Answer,"Global,Pitch,ภาษาอังกฤษ",FALSE,,,เกณฑ์: สื่อสารได้ ถูกต้องตามวัฒนธรรม,MASTER
DIAG-001,QG-01,Attention & Hook Mechanics,Diagnostic,A,Remember,[Diagnostic] คนดู TikTok ใช้เวลาตัดสินใจเลื่อนผ่านเฉลี่ยกี่วินาที?,8 วินาที,2.3 วินาที,5 วินาที,15 วินาที,B,สถิติ Attention Economy 2025-2026,MCQ,"Hook,Attention",TRUE,MICRO EXPRESS,ถ้าไม่ทราบ — เรียน MICRO EXPRESS ก่อน,ถูก=ผ่าน,STARTER
DIAG-002,QG-02,Hook Loop & FOMO Ladder,Diagnostic,A,Remember,[Diagnostic] FOMO Ladder มีกี่ขั้น?,2 ขั้น,3 ขั้น,4 ขั้น,5 ขั้น,C,FOMO Ladder มี 4 ขั้น: Price Anchor → Urgency → Scarcity → Social Proof,MCQ,FOMO Ladder,TRUE,"SIGNAL,MATRIX",เรียน FOMO ให้ครบ ใน SIGNAL,ถูก=ผ่าน,DEVELOPING
DIAG-003,QG-03,"Voice, Camera & Trust Architecture",Diagnostic,A,Remember,[Diagnostic] Dead Air ที่ยอมรับได้ไม่เกินกี่วินาที?,1 วินาที,2 วินาที,3 วินาที,5 วินาที,C,Dead Air >3 วินาที ทำให้ผู้ชมเลื่อนออก,MCQ,"Voice,Dead Air",TRUE,"SIGNAL,STAGE",เรียน Vocal Dynamics ใน SIGNAL,ถูก=ผ่าน,COMPETENT
DIAG-004,QG-04,Buyer Psychology — S-O-R & PAD Theory,Diagnostic,A,Remember,[Diagnostic] PAD Theory ย่อมาจากอะไร?,Price-Audience-Design,Pleasure-Arousal-Dominance,Push-Attract-Drive,Product-Appeal-Delivery,B,PAD = Pleasure / Arousal / Dominance,MCQ,PAD Theory,TRUE,SIGNAL,เรียน จิตวิทยาผู้บริโภค ใน SIGNAL,ถูก=ผ่าน,COMPETENT
DIAG-005,QG-05,Analytics & KPI Calculation,Diagnostic,A,Remember,[Diagnostic] GMV ย่อมาจากอะไร?,General Market Value,Gross Merchandise Value,Global Media Volume,Growth Metric Value,B,GMV = Gross Merchandise Value = ยอดขายรวมก่อนหักค่าใช้จ่าย,MCQ,"KPI,GMV",TRUE,"MICRO EXPRESS,MATRIX",เรียน Analytics ใน MATRIX,ถูก=ผ่าน,PROFICIENT
DIAG-006,QG-06,Brand Identity & Production,Diagnostic,A,Remember,[Diagnostic] ใน Live Commerce ทีม Production มีกี่บทบาทหลัก?,2 บทบาท,3 บทบาท,4 บทบาท,5 บทบาท,C,"Host, Producer, Chat Moderator, Inventory Manager",MCQ,"Production,Team",TRUE,BLUEPRINT,เรียน Production Setup ใน BLUEPRINT,ถูก=ผ่าน,PROFICIENT
DIAG-007,QG-07,"Business, P&L & Global Strategy",Diagnostic,A,Remember,[Diagnostic] Net Margin ที่เหมาะสมใน Live Commerce คือ?,5-10%,10-15%,20-30%,40-50%,C,Net Margin เป้าหมาย = 20-30%,MCQ,"P&L,Net Margin",TRUE,FRONTIER,เรียน P&L ใน FRONTIER,ถูก=ผ่าน,MASTER
QG01-PRE-A-007,QG-01,Attention & Hook Mechanics,Pre,A,Understand,Social Proof แบบใดทรงพลังที่สุดใน 30 วินาทีแรกของไลฟ์?,"""อินฟลูเอนเซอร์ดังๆ ก็ใช้ผลิตภัณฑ์นี้""","""มีคนกดสั่งไปแล้ว 847 ออร์เดอร์ รีวิว 5 ดาว 94%""","""สินค้านี้ดีมากจริงๆ ค่ะ""","""แบรนด์นี้อยู่มา 10 ปีแล้ว""",B,ตัวเลขจริงที่ตรวจสอบได้น่าเชื่อถือกว่าชื่อคนดัง เพราะเป็น Objective Data,MCQ,"Hook,Social Proof",FALSE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-POST-A-007,QG-01,Attention & Hook Mechanics,Post,A,Apply,[เขียน] เขียนช่วง 15 วินาที (Value Preview) สำหรับสินค้า 'น้ำหอมลดราคา 50%' 1-2 ประโยค,,,,,ตัวอย่าง: 'วันนี้เราจะเปิด 3 กลิ่นที่ผู้หญิงขอให้กลับมาขายซ้ำ พร้อมแถมเทคนิคฉีดให้หอมทั้งวัน',,Short_Answer,"Hook,Value Preview",FALSE,MICRO EXPRESS,,เกณฑ์: บอก 'จะได้อะไร' ชัดเจน ไม่ใช่แค่บอกชื่อสินค้า,STARTER
QG01-POST-A-008,QG-01,Attention & Hook Mechanics,Post,A,Apply,"[เขียน] จากข้อมูล: ออร์เดอร์ 1,230 ชิ้น รีวิว 4.9 ดาว จาก 2,000 คน — จงเขียน Social Proof 1 ประโยค",,,,,"ตัวอย่าง: 'สินค้าตัวนี้มีคนสั่งไปแล้ว 1,230 ชิ้น คะแนนรีวิว 4.9 จาก 2,000 คน — ตัวเลขพูดแทนได้'",,Short_Answer,"Hook,Social Proof",FALSE,MICRO EXPRESS,,เกณฑ์: ใช้ตัวเลขจากโจทย์ครบ ไม่แต่งตัวเลขใหม่,STARTER
QG01-POST-A-009,QG-01,Attention & Hook Mechanics,Post,A,Apply,"[Inverted Pyramid] เปลี่ยนประโยคนี้ให้เอาผลลัพธ์ขึ้นก่อน: 'ครีมตัวนี้มี Hyaluronic Acid 2%, Niacinamide 5%, ราคา 590 บาท'","""ครีมราคา 590 บาท มีสารสำคัญ 2 ตัว""","""ลดริ้วรอยได้ใน 7 วัน ด้วยครีม 590 บาทที่มีสารออกฤทธิ์ 2 ตัว""","""Hyaluronic Acid และ Niacinamide ราคา 590""","""ครีมดีมาก มีส่วนผสมครบ ราคาไม่แพง""",B,Inverted Pyramid = เอาประโยชน์/ผลลัพธ์ขึ้นก่อน ตามด้วยรายละเอียด ผู้ชมจะหยุดฟังทันที,MCQ,"Hook,Inverted Pyramid",FALSE,"SIGNAL,STAGE",,ถูก=ผ่าน,STARTER
QG03-PRE-A-006,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Understand,Diaphragmatic Breathing (การหายใจด้วยกระบังลม) ช่วยโฮสต์เรื่องใดมากที่สุด?,ทำให้พูดเร็วขึ้น,เสียงมีพลัง ไม่เกร็งคอ ควบคุมได้นาน,ลดความประหม่าทางสายตา,ช่วยให้จำสคริปต์ได้ดีขึ้น,B,การหายใจลึกจากกระบังลมให้ฐานเสียงที่มั่นคง ไม่เมื่อยคอเมื่อพูดนาน,MCQ,"Voice,Breathing,Diaphragm",FALSE,STAGE,,ถูก=ผ่าน,COMPETENT
QG03-POST-A-006,QG-03,"Voice, Camera & Trust Architecture",Post,A,Apply,[Role-play] CCV ลดลงเหลือครึ่งหนึ่งในนาทีที่ 20 — เขียน 1 ประโยคที่ใช้ Whisper Trick เพื่อดึงผู้ชมกลับ,,,,,ตัวอย่าง: (เสียงเบาลง) 'มีคนดูอยู่ไหมคะ... ถ้าได้ยิน พิมพ์ใจในแชทได้เลย มีของแจกรออยู่นะ',,Short_Answer,"Voice,Whisper Trick",FALSE,STAGE,,เกณฑ์: เสียงต้องบ่งบอกว่าเบาลง + มี CTA ให้ผู้ชมตอบสนอง,COMPETENT
QG03-PRE-A-007,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Remember,CC ใน Brand CI ย่อมาจากอะไร และเกี่ยวข้องกับสิ่งใด?,Corporate Color — สีประจำแบรนด์,Corporate Communication — โทนเสียงและคำพูดที่ใช้สม่ำเสมอ,Customer Care — การดูแลลูกค้า,Content Creation — การสร้างเนื้อหา,B,CC = Corporate Communication คือโทนเสียง คำพูด และสไตล์การสื่อสารที่แบรนด์ใช้สม่ำเสมอทุกไลฟ์,MCQ,"Brand CI,CC,Communication",FALSE,BLUEPRINT,,ถูก=ผ่าน,PROFICIENT
QG04-PRE-A-005,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Understand,Narrative Transportation ทำให้ผู้ชมเกิดอะไร?,อยากซื้อสินค้าในราคาที่สูงขึ้น,สูญเสียการคิดวิพากษ์ ตามเรื่องราวจนอยากซื้อ,จดจำตัวเลขสถิติได้ดีขึ้น,รู้สึกเชื่อถือโฮสต์มากขึ้นเพราะข้อมูลครบ,B,เมื่อผู้ชมดูดซับเรื่องราว การคิดวิเคราะห์จะลดลง ทำให้ตัดสินใจซื้อตามอารมณ์,MCQ,"Psychology,Narrative,Transportation",FALSE,SIGNAL,,ถูก=ผ่าน,COMPETENT
QG04-PRE-A-006,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Understand,"""Selling the Why"" แตกต่างจาก ""Selling the What"" อย่างไร?",Selling the Why บอกราคาก่อน Selling the What บอกคุณสมบัติก่อน,Selling the Why ขายประโยชน์และความหมาย ไม่ใช่แค่คุณสมบัติสินค้า,Selling the Why ใช้ได้กับสินค้าแพงเท่านั้น,Selling the Why คือการเล่า Story ของแบรนด์เท่านั้น,B,ขาย 'ทำไมต้องมีสินค้านี้' ไม่ใช่ 'สินค้ามีอะไร' — ผู้ชมซื้อความรู้สึก ไม่ใช่สเปก,MCQ,"Psychology,Narrative,Selling the Why",FALSE,SIGNAL,,ถูก=ผ่าน,COMPETENT
QG04-POST-A-005,QG-04,Buyer Psychology — S-O-R & PAD Theory,Post,A,Synthesize,[เขียน] เล่าเรื่อง 'การเดินทางผิวแห้งสู่ผิวฉ่ำ' ใน 3 ประโยค ใช้หลัก Coherence + Vividness,,,,,ตัวอย่าง: 'ก่อนหน้านี้ผิวฉันแห้งจนแตกลาย ครีมทาแล้วไม่ซึม | หลังใช้ครีมนี้ครั้งแรก รู้สึกผิวดูดซับทันที ชุ่มชื้นตลอดวัน | ตอนนี้คนรอบข้างถามว่าไปทำผิวมาไหม — ไม่เลย แค่เปลี่ยนครีม',,Short_Answer,"Psychology,Narrative,Vividness",FALSE,SIGNAL,,เกณฑ์: มี Before-During-After ชัดเจน + มีรายละเอียดที่จับต้องได้ (Vividness),COMPETENT
QG04-POST-A-006,QG-04,Buyer Psychology — S-O-R & PAD Theory,Post,A,Apply,[Scenario] ผู้ชมพิมพ์ในแชทว่า 'ลังเล อยากได้แต่กลัวไม่เหมาะกับผิว' — โฮสต์ควรตอบอย่างไร?,"""ซื้อเลยค่ะ ของดีแน่นอน ไม่ต้องกังวล""","""เข้าใจเลยค่ะ เรามีรับประกัน 30 วัน ใช้แล้วไม่โอเคคืนได้เลย ลองได้ไม่มีความเสี่ยง""","""สินค้านี้เหมาะกับทุกผิวค่ะ ไม่ต้องห่วง""","""คนอื่นก็ใช้แล้วดีนะคะ""",B,Objection Handling แบบ 'ลังเล' ต้องลดความเสี่ยงในใจผู้ซื้อ — Guarantee คือเครื่องมือที่ดีที่สุด,MCQ,"Psychology,Objection Handling,Guarantee",FALSE,"SIGNAL,STAGE",,ถูก=ผ่าน,COMPETENT
QG05-POST-A-006,QG-05,Analytics & KPI Calculation,Post,A,Apply,Peak Timing ที่ดีที่สุดสำหรับปล่อย Flash Sale ในไลฟ์ปกติ คือช่วงนาทีที่เท่าไร?,นาทีที่ 5-15,นาทีที่ 15-25,นาทีที่ 30-45,นาทีที่ 50-60,C,นาทีที่ 30-45 คือช่วงที่ผู้ชม Warm ที่สุด Algorithm ให้คะแนนสูง ควรวาง Flash Sale ไว้ช่วงนี้,MCQ,"KPI,Peak Timing,Flash Sale",FALSE,MATRIX,,ถูก=ผ่าน,PROFICIENT
QG05-POST-A-007,QG-05,Analytics & KPI Calculation,Post,A,Apply,[เขียน] แนะนำวิธีเพิ่ม CCV จาก 50 เป็น 100 คน โดยไม่ใช้งบโฆษณา (อย่างน้อย 2 วิธี),,,,,วิธีที่ใช้ได้: 1) เชิญ Co-host มาร่วมไลฟ์ 2) ประกาศ Giveaway ในนาทีที่ 10 3) Hook Loop ถี่ขึ้นทุก 10 นาที 4) แจ้งเตือนใน Stories ก่อนไลฟ์,,Short_Answer,"KPI,CCV,Growth",FALSE,MATRIX,,เกณฑ์: ต้องมีอย่างน้อย 2 วิธีที่ปฏิบัติได้จริงโดยไม่เสียเงิน,PROFICIENT
QG05-PRE-A-007,QG-05,Analytics & KPI Calculation,Pre,A,Remember,AI Clipping Tool เช่น Flowjin หรือ Framedrop ช่วยโฮสต์ทำอะไร?,ออกแบบ Thumbnail และ Graphic สวยงาม,ตัดคลิปสั้น Highlight จากไลฟ์ยาวอัตโนมัติ พร้อมซับไตเติ้ล,วิเคราะห์ KPI และออก Report อัตโนมัติ,ตอบแชทในไลฟ์แทนโฮสต์,B,AI Clipping ลดเวลาตัดต่อจากชั่วโมงเหลือนาที ช่วยให้ Live Once แล้ว Post Everywhere ได้ทันที,MCQ,"AI Tools,Clipping,Content",FALSE,MATRIX,,ถูก=ผ่าน,PROFICIENT
QG05-POST-A-008,QG-05,Analytics & KPI Calculation,Post,A,Synthesize,[วางแผน] จากไลฟ์ 1 ครั้ง วางแผน Content Calendar 1 สัปดาห์ได้อย่างไร? (ระบุ 4 วันและเนื้อหา),,,,,จันทร์: Highlight 60 วิ (ช่วงขายดีที่สุด) | พุธ: Behind the Scene (เบื้องหลังเตรียมสินค้า) | ศุกร์: รีวิวสั้น+คำถามจากแชท | อาทิตย์: Teaser Flash Sale ไลฟ์ครั้งหน้า,,Short_Answer,"AI Tools,Content Calendar,Strategy",FALSE,"MATRIX,FRONTIER",,เกณฑ์: ครบ 4 วัน เนื้อหาแตกต่างกัน ดึงจากไลฟ์เดิมได้จริง,PROFICIENT
QG05-PRE-A-008,QG-05,Analytics & KPI Calculation,Pre,A,Remember,PDPA ห้ามโฮสต์ทำอะไรเกี่ยวกับใบหน้าผู้อื่นระหว่างไลฟ์?,พูดถึงชื่อผู้ซื้อในแชท,ถ่ายติดใบหน้าผู้อื่นแล้วเผยแพร่โดยไม่ได้รับความยินยอม,แสดงสินค้าที่มีคนสั่งซื้อแล้ว,แชร์ยอดขายรวมของไลฟ์,B,PDPA คุ้มครองข้อมูลส่วนบุคคลรวมถึงภาพใบหน้า การเผยแพร่โดยไม่ยินยอมมีโทษทั้งแพ่งและอาญา,MCQ,"Compliance,PDPA,กฎหมาย",FALSE,MATRIX,,ถูก=ผ่าน,PROFICIENT
QG05-POST-A-009,QG-05,Analytics & KPI Calculation,Post,A,Analyze,[Case] โฮสต์พูดว่า 'ครีมนี้เห็นผลทันที ใช้คืนเดียวขาว' — ผิดกฎหมายข้อใด?,ผิดเฉพาะ PDPA,ผิด อย. (โฆษณาโอ้อวดเกินจริง) และอาจผิด PDPA ถ้าใช้ภาพก่อน-หลังที่ไม่ได้รับอนุญาต,ไม่ผิดกฎหมายใด เป็นแค่การขายปากเปล่า,ผิดเฉพาะ DPS/ETDA เรื่อง Platform Policy,B,อย. ห้ามโฆษณาสรรพคุณเกินจริง คำว่า 'ขาวใน 1 คืน' เป็นข้อความต้องห้ามชัดเจน,MCQ,"Compliance,อย.,PDPA,กฎหมาย",FALSE,MATRIX,,ถูก=ผ่าน,PROFICIENT
QG05-POST-A-010,QG-05,Analytics & KPI Calculation,Post,A,Apply,[เขียน] เขียน Disclaimer สำหรับไลฟ์ขายสินค้าสุขภาพ/อาหารเสริม 1 ประโยค,,,,,ตัวอย่าง: 'ผลิตภัณฑ์นี้ไม่ได้มีวัตถุประสงค์เพื่อรักษาโรค ผลลัพธ์อาจแตกต่างกันในแต่ละบุคคล ควรอ่านฉลากก่อนใช้',,Short_Answer,"Compliance,Disclaimer,อย.",FALSE,MATRIX,,เกณฑ์: ต้องมีการปฏิเสธการรักษาโรค + แนะนำให้อ่านฉลาก,PROFICIENT
QG05-PRE-A-009,QG-05,Analytics & KPI Calculation,Pre,A,Remember,Golden Minute คืออะไรในบริบท Live Commerce Analytics?,นาทีแรกของไลฟ์ที่สำคัญที่สุด,นาทีที่ Conversion Rate สูงที่สุดในแต่ละไลฟ์,ช่วง 60 วินาทีหลัง Flash Sale,นาทีที่ Algorithm ให้ Boost สูงสุด,B,Golden Minute ดูจาก Retention Curve — นาทีที่ CR พุ่งสูงสุดควรวางสินค้า Hero และ Flash Sale,MCQ,"Analytics,Golden Minute,Advanced",FALSE,FRONTIER,,ถูก=ผ่าน,MASTER
QG05-PRE-A-010,QG-05,Analytics & KPI Calculation,Pre,A,Remember,Cohort Analysis ในงาน Live Commerce ช่วยวิเคราะห์อะไร?,เปรียบเทียบยอดขายระหว่างแพลตฟอร์ม,พฤติกรรมการกลับมาซื้อซ้ำของกลุ่มผู้ซื้อในช่วงเวลาเดียวกัน,อัตราการคืนสินค้าแยกตาม SKU,จำนวนผู้ชมใหม่ vs ผู้ชมเก่า,B,Cohort Analysis จัดกลุ่มผู้ซื้อตามเวลาที่ซื้อครั้งแรก แล้วติดตามว่ากลับมาซื้อซ้ำไหม — ช่วยวัด LTV,MCQ,"Analytics,Cohort,Advanced",FALSE,FRONTIER,,ถูก=ผ่าน,MASTER
QG05-PRE-A-011,QG-05,Analytics & KPI Calculation,Pre,A,Remember,Solo Host ไม่ควรไลฟ์เกินกี่วันต่อสัปดาห์เพื่อป้องกัน Burnout?,1 วัน,2 วัน,3 วัน,5 วัน,C,ไลฟ์สูงสุด 3 วัน/สัปดาห์ ที่เหลือใช้สำหรับพักและผลิต Content — AI Clipping ช่วยลดภาระได้ ~40%,MCQ,"Strategy,Burnout,Smart Lazy",FALSE,FRONTIER,,ถูก=ผ่าน,MASTER
QG06-PRE-A-006,QG-06,Brand Identity & Production,Pre,A,Remember,"เทคนิค 'Yes, and...' ที่ใช้ใน Crisis Improv มาจากวงการใด?",การขายแบบ Door-to-Door,ละครสด (Improvisation Theatre),การเจรจาต่อรองทางธุรกิจ,จิตวิทยาการให้คำปรึกษา,B,"Yes, and' มาจาก Improv Theatre — รับทุกสถานการณ์แล้วต่อยอด ไม่ปฏิเสธ ทำให้รับมือวิกฤตได้ราบรื่น",MCQ,"Crisis,Improv,Yes-and",FALSE,STAGE,,ถูก=ผ่าน,PROFICIENT
QG06-POST-A-006,QG-06,Brand Identity & Production,Post,A,Apply,[Roleplay] Flash Sale กำลังดำเนินอยู่ สินค้าหมดกะทันหัน — โฮสต์ควรพูดอะไรทันทีใน 10 วินาที?,,,,,ตัวอย่าง: 'ว้าว! หมดเลยนะคะ เร็วมากจริงๆ ขอบคุณทุกคนที่กดสั่งค่ะ สำหรับคนที่พลาด — รอบหน้าเราจะแจ้งล่วงหน้าใน LINE OA นะคะ กด Follow ไว้เลยค่ะ',,Short_Answer,"Crisis,Recovery,Improv",FALSE,STAGE,,เกณฑ์: Recovery ภายใน 10 วิ + เปลี่ยน Dead Air เป็น CTA ใหม่ทันที,PROFICIENT
